Songs & Artist,Streams,Daily
Gesaffelstein - Lost in the Fire,"1,28,34,45,907 ","4,71,263 "
Seafret - Atlantis,"1,28,31,52,894 ","4,26,833 "
The Weeknd - Die For You,"1,28,30,85,942 ","4,10,664 "
DJ Snake - Middle,"1,28,21,50,859 ","4,12,258 "
JAÅ¸-Z - Numb / Encore,"1,28,13,78,289 ","5,09,929 "
Calum Scott - You Are The Reason,"1,28,08,42,909 ","3,37,898 "
Avicii - Hey Brother,"1,28,04,38,153 ","4,00,543 "
Katy Perry - California Gurls,"1,27,96,09,809 ","7,30,906 "
"Drake - Hold On, We're Going Home","1,27,87,51,522 ","6,15,672 "
3 Doors Down - Kryptonite,"1,27,84,35,971 ","6,68,250 "
Desiigner - Panda,"1,27,81,90,012 ","1,70,319 "
The Temptations - My Girl,"1,27,77,85,870 ","4,22,648 "
Mr. Probz - Waves,"1,27,74,05,386 ","5,25,692 "
James Arthur - Rewrite The Stars,"1,27,68,76,557 ","5,14,683 "
Frank Ocean - Ivy,"1,27,66,02,418 ","6,70,990 "
Tove Lo - Habits (Stay High),"1,27,62,04,415 ","7,68,500 "
Billie Eilish - Bored,"1,27,60,82,468 ","3,18,095 "
Ty Dolla $ign - Or Nah,"1,27,46,04,841 ","4,84,226 "
Flo Rida - My House,"1,27,30,23,550 ","3,66,802 "
Pop Smoke - Dior,"1,27,24,89,357 ","2,59,538 "
YNW Melly - Murder on My Mind,"1,27,13,51,909 ","3,23,555 "
The Weeknd - Often,"1,27,10,31,247 ","4,21,422 "
GAYLE - abcdefu,"1,27,06,28,655 ","1,77,049 "
Led Zeppelin - Stairway to Heaven,"1,27,04,03,664 ","4,63,353 "
Bruno Mars - Wake Up in the Sky,"1,27,03,51,838 ","5,10,155 "
21 Savage - Bank Account,"1,26,84,72,690 ","1,47,867 "
Bad Bunny - PERRO NEGRO,"1,26,69,40,384 ","5,79,913 "
Kodak Black - ZEZE,"1,26,67,72,605 ","3,39,425 "
The Mamas & The Papas - California Dreamin',"1,26,65,13,921 ","6,37,472 "
Avicii - Levels,"1,26,58,23,449 ","5,15,745 "
Pop Smoke - For The Night,"1,26,57,55,802 ","1,91,658 "
Eminem - Rap God,"1,26,49,63,628 ","2,38,388 "
Miley Cyrus - We Can't Stop,"1,26,46,35,743 ","5,79,721 "
Calvin Harris - Slide,"1,26,44,58,835 ","2,52,826 "
Dominic Fike - 3 Nights,"1,26,30,76,960 ","5,23,307 "
Selena Gomez & The Scene - Love You Like A Love Song,"1,26,15,16,700 ","8,44,046 "
Skrillex - Where Are Ã Now,"1,25,86,01,460 ","3,08,212 "
Jack Ã - Where Are Ã Now,"1,25,82,93,248 ","3,01,152 "
Ariana Grande - God is a woman,"1,25,77,44,892 ","3,90,538 "
Jason Derulo - Swalla,"1,25,68,75,106 ","2,10,566 "
Demi Lovato - Sorry Not Sorry,"1,25,56,21,254 ","1,36,315 "
Lil Uzi Vert - The Way Life Goes,"1,25,49,17,886 ","4,25,154 "
TV Girl - Not Allowed,"1,25,37,46,446 ","6,79,280 "
Jonas Blue - Perfect Strangers,"1,24,98,07,333 ","3,42,712 "
PARTYNEXTDOOR - Break from Toronto,"1,24,69,81,760 ","5,29,756 "
Dhruv - double take,"1,24,62,93,734 ","4,81,363 "
Wham! - Wake Me Up Before You Go-Go,"1,24,13,95,341 ","3,25,906 "
Zac Efron - Rewrite The Stars,"1,24,12,96,514 ","3,58,624 "
Mac Miller - The Spins,"1,24,10,33,826 ","13,50,637 "
Sia - Elastic Heart,"1,24,08,95,457 ","5,02,652 "
RAYE - Escapism.,"1,23,81,02,045 ","7,30,548 "
Miley Cyrus - Wrecking Ball,"1,23,80,12,391 ","5,58,954 "
BLACKPINK - How You Like That,"1,23,73,97,487 ","2,70,315 "
Topic - Breaking Me,"1,23,70,78,502 ","1,52,008 "
Men At Work - Down Under,"1,23,60,23,719 ","7,35,852 "
Feid - CLASSY 101,"1,23,56,20,849 ","3,62,876 "
One Direction - Perfect,"1,23,53,30,245 ","5,51,010 "
Pixies - Where Is My Mind?,"1,23,36,42,894 ","5,30,686 "
"Olivia Rodrigo - jealousy, jealousy","1,23,36,26,027 ","4,94,781 "
Haddaway - What Is Love (Original 7' Mix),"1,23,33,30,546 ","7,27,179 "
Bon Jovi - It's My Life,"1,23,31,57,082 ","6,16,419 "
Katy Perry - I Kissed A Girl,"1,23,24,67,443 ","5,90,055 "
Train - Drops of Jupiter (Tell Me),"1,22,81,71,155 ","6,70,326 "
Lady Gaga - Rain On Me,"1,22,64,11,067 ","2,25,256 "
Jason Derulo - Want to Want Me,"1,22,54,64,120 ","2,96,236 "
AURORA - Runaway,"1,22,48,70,050 ","5,55,470 "
"Pink Floyd - Another Brick in the Wall, Pt. 2","1,22,42,89,434 ","6,10,155 "
Billie Eilish - bellyache,"1,22,37,60,714 ","3,64,381 "
*NSYNC - Bye Bye Bye,"1,22,33,31,002 ","5,40,257 "
Kings of Leon - Use Somebody,"1,22,22,86,864 ","7,49,012 "
Dua Lipa - Levitating,"1,22,13,68,362 ","4,48,012 "
Jawsh 685 - Savage Love (Laxed,"1,21,94,10,583 ","1,25,606 "
Cyndi Lauper - Time After Time,"1,21,92,55,655 ","5,60,596 "
SZA - Nobody Gets Me,"1,21,90,71,114 ","7,48,628 "
Tracy Chapman - Fast Car,"1,21,90,70,091 ","5,53,231 "
Blur - Song 2,"1,21,86,94,889 ","7,10,668 "
Electric Light Orchestra - Mr. Blue Sky,"1,21,79,73,416 ","4,88,894 "
Simple Minds - Don't You (Forget About Me),"1,21,66,49,293 ","5,00,784 "
Mark Ronson - Nothing Breaks Like a Heart,"1,21,63,25,215 ","4,68,289 "
The Weeknd - Heartless,"1,21,59,09,969 ","3,22,582 "
Imagine Dragons - On Top Of The World,"1,21,55,96,011 ","3,19,729 "
Metallica - Master of Puppets (Remastered),"1,21,53,73,679 ","6,23,024 "
Bad Bunny - La Santa,"1,21,51,27,395 ","4,53,074 "
Luke Combs - When It Rains It Pours,"1,21,46,47,364 ","5,37,702 "
Clean Bandit - Solo,"1,21,35,22,860 ","4,76,049 "
"Dan + Shay - 10,000 Hours","1,21,28,79,382 ","2,21,266 "
Alphaville - Forever Young,"1,21,06,99,870 ","8,11,500 "
One Direction - Steal My Girl,"1,21,00,33,792 ","6,04,183 "
Selena Gomez - Back To You,"1,20,74,87,820 ","1,77,436 "
Nico & Vinz - Am I Wrong,"1,20,73,02,616 ","3,85,490 "
Queen - Crazy Little Thing Called Love,"1,20,69,72,146 ","4,02,193 "
Lana Del Rey - West Coast,"1,20,66,13,226 ","6,97,461 "
Rage Against The Machine - Killing In The Name,"1,20,64,52,219 ","5,39,721 "
Three Days Grace - I Hate Everything About You,"1,20,62,48,243 ","7,73,876 "
A Great Big World - Say Something,"1,20,59,98,345 ","1,77,510 "
Flo Rida - Wild Ones,"1,20,42,21,246 ","5,53,879 "
Lil Nas X - THATS WHAT I WANT,"1,20,28,42,209 ","1,68,139 "
Sheck Wes - Mo Bamba,"1,20,26,04,455 ","1,83,090 "
Lana Del Rey - Cinnamon Girl,"1,20,21,51,088 ","13,95,997 "
Ozuna - Se PreparÃ³,"1,20,09,41,674 ","6,21,684 "
21 Savage - a lot,"1,20,05,76,377 ","4,17,649 "
Kygo - Stole the Show,"1,19,95,90,688 ","3,49,549 "
Anuel AA - Amanece,"1,19,92,70,377 ","6,34,897 "
Niall Horan - This Town,"1,19,74,38,320 ","3,26,535 "
Taylor Swift - The Fate of Ophelia,"1,19,73,08,278 ","35,92,356 "
Dua Lipa - Physical,"1,19,68,98,809 ","3,75,399 "
Green Day - Boulevard of Broken Dreams,"1,19,65,29,114 ","7,30,993 "
Andy Williams - It's the Most Wonderful Time of the Year,"1,19,61,68,175 ","12,238 "
Toploader - Dancing in the Moonlight,"1,19,59,60,566 ","4,26,395 "
Nicky Jam - X,"1,19,55,59,133 ","2,50,307 "
Drake - Toosie Slide,"1,19,46,17,544 ","2,23,945 "
Ariana Grande - Break Free,"1,19,42,49,118 ","5,76,794 "
Eyedress - Jealous,"1,19,35,89,654 ","4,00,852 "
Calvin Harris - Promises,"1,19,23,03,291 ","4,01,792 "
Bruce Springsteen - Dancing In the Dark,"1,19,10,43,680 ","6,10,508 "
Metro Boomin - Too Many Nights,"1,18,92,38,477 ","7,83,463 "
Gunna - fukumean,"1,18,85,46,596 ","3,57,193 "
Hailee Steinfeld - Let Me Go,"1,18,76,86,146 ","1,29,330 "
Riton - Friday,"1,18,76,70,590 ","3,83,510 "
Becky G - MAMIII,"1,18,62,88,277 ","3,43,404 "
Britney Spears - Gimme More,"1,18,62,29,227 ","8,45,818 "
Bad Bunny - Si EstuviÃ©semos Juntos,"1,18,61,85,274 ","4,78,157 "
Nelly - Dilemma,"1,18,57,65,474 ","5,63,260 "
Rae Sremmurd - Black Beatles,"1,18,53,16,518 ","6,08,726 "
Nelly Furtado - Maneater,"1,18,29,71,314 ","8,80,493 "
Taylor Swift - All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),"1,18,19,87,091 ","5,03,374 "
Cigarettes After Sex - Sunsetz,"1,18,06,76,617 ","6,98,678 "
Adele - Love In The Dark,"1,18,01,55,797 ","6,42,549 "
Tainy - Lo Siento BB:/,"1,17,98,96,062 ","5,78,655 "
Mitski - Washing Machine Heart,"1,17,78,90,428 ","5,69,325 "
Linkin Park - One Step Closer,"1,17,75,51,522 ","7,58,061 "
The Killers - Somebody Told Me,"1,17,69,14,448 ","7,80,390 "
Creedence Clearwater Revival - Bad Moon Rising,"1,17,60,57,826 ","3,72,873 "
Kygo - Higher Love,"1,17,50,72,781 ","2,43,708 "
Dennis Lloyd - Nevermind,"1,17,47,99,466 ","2,97,026 "
Alicia Keys - No One,"1,17,47,20,053 ","5,05,215 "
Lunay - Soltera (Remix),"1,17,43,98,238 ","3,55,655 "
Elton John - Your Song,"1,17,17,47,699 ","3,92,973 "
Drake - Too Good,"1,17,12,40,266 ","1,91,166 "
Edward Sharpe & The Magnetic Zeros - Home,"1,17,06,45,739 ","4,77,642 "
Cigarettes After Sex - K.,"1,17,01,90,533 ","6,58,670 "
KAROL G - AMARGURA,"1,16,97,14,413 ","5,03,766 "
The Weeknd - Pray For Me,"1,16,90,32,527 ","3,50,052 "
Harry Styles - Late Night Talking,"1,16,83,97,620 ","3,18,806 "
Taylor Swift - Wildest Dreams,"1,16,60,86,676 ","4,91,810 "
Ne-Yo - So Sick,"1,16,53,86,983 ","5,14,310 "
Chase Atlantic - Friends,"1,16,50,93,731 ","8,23,713 "
Charlie Puth - Left and Right (Feat. Jung Kook of BTS),"1,16,47,36,397 ","3,65,233 "
Ariana Grande - 34+35,"1,16,46,53,441 ","2,74,057 "
Shawn Mendes - If I Can't Have You,"1,16,46,25,608 ","2,19,745 "
GROUPLOVE - Tongue Tied,"1,16,44,12,997 ","4,37,600 "
Taylor Swift - Love Story (Taylorâs Version),"1,16,36,63,402 ","4,90,927 "
Bad Bunny - LA NOCHE DE ANOCHE,"1,16,32,82,171 ","2,70,346 "
Kina - Get You The Moon,"1,16,27,95,452 ","2,12,236 "
Bad Bunny - Vete,"1,16,09,50,412 ","3,03,905 "
Post Malone - Go Flex,"1,16,06,88,139 ","1,77,420 "
LP - Lost on You,"1,15,95,66,007 ","6,09,576 "
Chappell Roan - Pink Pony Club,"1,15,95,14,360 ","11,84,931 "
Paramore - Still into You,"1,15,89,55,022 ","7,07,193 "
Britney Spears - Oops!...I Did It Again,"1,15,86,60,987 ","6,32,653 "
Kanye West - POWER,"1,15,79,39,057 ","4,66,920 "
"Bizarrap - Shakira: Bzrp Music Sessions, Vol. 53/66","1,15,63,83,419 ","2,57,937 "
Kendrick Lamar - PRIDE.,"1,15,53,80,364 ","4,66,396 "
MGMT - Kids,"1,15,51,74,531 ","6,94,215 "
Arctic Monkeys - Fluorescent Adolescent,"1,15,49,95,015 ","4,64,179 "
Billie Eilish - CHIHIRO,"1,15,48,06,125 ","8,89,671 "
Post Malone - Candy Paint,"1,15,37,71,908 ","1,72,163 "
Kali Uchis - Moonlight,"1,15,32,89,353 ","6,39,533 "
Demi Lovato - Heart Attack,"1,15,06,71,720 ","6,48,586 "
Bazzi - Mine,"1,14,99,92,098 ","1,88,710 "
Billie Eilish - bury a friend,"1,14,99,12,961 ","1,60,181 "
Baby Keem - family ties,"1,14,96,44,355 ","5,37,619 "
ABBA - Gimme! Gimme! Gimme! (A Man After Midnight),"1,14,88,43,379 ","5,79,423 "
Enrique Iglesias - Bailando,"1,14,87,46,664 ","4,65,186 "
Richy Mitch & The Coal Miners - Evergreen,"1,14,77,46,182 ","6,13,477 "
Gorillaz - Clint Eastwood,"1,14,76,74,580 ","6,48,726 "
Zara Larsson - Never Forget You,"1,14,71,65,703 ","4,89,225 "
Ed Sheeran - The A Team,"1,14,66,63,148 ","2,06,933 "
TV Girl - Cigarettes out the Window,"1,14,54,66,627 ","8,53,918 "
Katy Perry - Teenage Dream,"1,14,32,97,499 ","6,19,713 "
The Jackson 5 - I Want You Back,"1,14,32,16,195 ","4,10,397 "
Taylor Swift - Fortnight,"1,14,31,81,389 ","6,50,386 "
Luke Combs - Beautiful Crazy,"1,14,21,40,090 ","3,97,687 "
Polo G - RAPSTAR,"1,13,98,04,862 ","2,08,728 "
Ãneheart - snowfall,"1,13,82,59,266 ","5,84,028 "
Bad Bunny - NUEVAYoL,"1,13,64,42,363 ","28,27,929 "
Bruno Mars - Versace on the Floor,"1,13,61,74,703 ","7,36,653 "
Cris MJ - Una Noche en MedellÃ­n,"1,13,59,28,999 ","4,95,064 "
Camila Cabello - Never Be the Same,"1,13,46,28,176 ","5,15,134 "
A Boogie Wit da Hoodie - Drowning,"1,13,42,30,758 ","4,00,329 "
Drake - Laugh Now Cry Later,"1,13,34,57,806 ","3,54,358 "
Rihanna - Where Have You Been,"1,13,28,79,199 ","10,16,160 "
Kanye West - Runaway,"1,13,24,23,013 ","7,39,435 "
Juice WRLD - Come & Go,"1,13,23,49,134 ","2,63,847 "
Zion & Lennox - Otra Vez,"1,13,11,16,348 ","6,09,544 "
Maluma - Felices los 4,"1,13,00,56,492 ","2,70,922 "
Nicki Minaj - Super Bass,"1,12,99,97,037 ","3,46,793 "
Owl City - Fireflies,"1,12,95,27,081 ","4,03,856 "
Morgan Wallen - Whiskey Glasses,"1,12,84,26,194 ","4,68,846 "
James Arthur - Impossible,"1,12,81,32,272 ","6,17,774 "
Van Halen - Jump,"1,12,80,84,222 ","3,76,433 "
Jung Kook - 3D,"1,12,79,51,677 ","6,23,617 "
Slipknot - Duality,"1,12,74,00,308 ","6,69,467 "
Mabel - Don't Call Me Up,"1,12,73,03,445 ","1,53,817 "
Metro Boomin - Space Cadet,"1,12,63,82,332 ","2,36,918 "
Taylor Swift - You Need To Calm Down,"1,12,62,78,838 ","2,00,812 "
Paulo Londra - Adan y Eva,"1,12,62,16,591 ","4,06,815 "
George Ezra - Shotgun,"1,12,51,32,850 ","2,10,042 "
Marshmello - Leave Before You Love Me,"1,12,48,37,755 ","4,26,591 "
Limp Bizkit - Break Stuff,"1,12,45,49,607 ","8,27,691 "
Paramore - Misery Business,"1,12,41,33,590 ","6,30,356 "
James Blunt - You're Beautiful,"1,12,37,95,377 ","3,69,691 "
Lil Nas X - Old Town Road,"1,12,30,71,463 ","1,66,066 "
Olivia Rodrigo - All I Want,"1,12,25,69,147 ","5,20,805 "
"Ariana Grande - break up with your girlfriend, i'm bored","1,12,16,21,378 ","2,45,376 "
Mazzy Star - Fade Into You,"1,12,09,65,131 ","10,16,110 "
Kendrick Lamar - Swimming Pools (Drank),"1,12,06,88,738 ","5,96,739 "
Lola Young - Messy,"1,12,00,54,014 ","11,60,777 "
Two Door Cinema Club - What You Know,"1,11,94,58,985 ","5,77,580 "
Kanye West - I Wonder,"1,11,81,47,430 ","6,41,265 "
V - Love Me Again,"1,11,74,70,911 ","2,50,126 "
Destiny's Child - Say My Name,"1,11,72,26,838 ","4,79,158 "
Liam Payne - Strip That Down,"1,11,70,94,625 ","1,31,066 "
Soft Cell - Tainted Love,"1,11,58,99,418 ","3,55,814 "
Juice WRLD - Wishing Well,"1,11,51,82,858 ","2,66,644 "
Queen - Somebody To Love,"1,11,50,72,415 ","3,74,066 "
Polo G - Martin & Gina,"1,11,47,65,455 ","3,25,181 "
Romeo Santos - Propuesta Indecente,"1,11,42,98,592 ","5,70,245 "
Lady Gaga - Judas,"1,11,38,04,497 ","9,78,544 "
Wallows - Are You Bored Yet?,"1,11,36,20,365 ","3,12,987 "
Tame Impala - Borderline,"1,11,33,70,310 ","10,42,807 "
The Weeknd - In Your Eyes,"1,11,26,22,214 ","2,51,888 "
Lana Del Rey - Brooklyn Baby,"1,11,19,75,504 ","7,20,046 "
Quevedo - Columbia,"1,11,17,72,621 ","4,33,062 "
Rick Astley - Never Gonna Give You Up,"1,11,03,28,687 ","3,29,383 "
Chris Isaak - Wicked Game,"1,10,97,97,048 ","8,95,660 "
Frank Ocean - White Ferrari,"1,10,95,19,346 ","9,12,063 "
Drake - Money In The Grave (Drake ft. Rick Ross),"1,10,87,13,113 ","2,24,572 "
Galantis - Runaway (U & I),"1,10,74,60,027 ","3,42,534 "
Drake - Headlines,"1,10,60,94,835 ","10,51,779 "
Natalie Imbruglia - Torn,"1,10,59,14,787 ","5,44,702 "
J Balvin - QUE PRETENDES,"1,10,53,26,701 ","5,58,687 "
MEDUZA - Piece Of Your Heart,"1,10,52,27,577 ","1,56,760 "
Bonnie Tyler - Total Eclipse of the Heart,"1,10,51,97,957 ","5,10,611 "
Leona Lewis - Bleeding Love,"1,10,49,82,447 ","4,73,140 "
Juice WRLD - Lean Wit Me,"1,10,44,53,398 ","2,84,459 "
Boston - More Than a Feeling,"1,10,40,52,940 ","5,71,092 "
USHER - My Boo,"1,10,39,95,284 ","5,37,936 "
2Pac - California Love,"1,10,32,34,538 ","5,46,736 "
Ariana Grande - Problem,"1,10,28,49,531 ","4,29,466 "
Drake - Fair Trade,"1,10,09,81,518 ","4,93,550 "
The Game - Hate It Or Love It,"1,10,07,97,416 ","6,54,323 "
The Cure - Boys Don't Cry,"1,10,00,84,403 ","12,66,333 "
Calle 24 - QUE ONDA,"1,09,97,58,638 ","6,50,514 "
Mac DeMarco - Chamber Of Reflection,"1,09,84,12,470 ","5,84,031 "
Crowded House - Don't Dream It's Over,"1,09,78,95,348 ","9,27,434 "
Taylor Swift - I Knew You Were Trouble.,"1,09,68,49,802 ","4,65,846 "
Kenya Grace - Strangers,"1,09,51,38,591 ","3,35,312 "
Panic! At The Disco - I Write Sins Not Tragedies,"1,09,47,27,673 ","4,40,103 "
Sean Kingston - Beautiful Girls,"1,09,46,67,488 ","5,51,820 "
Sublime - Santeria,"1,09,45,29,867 ","6,83,866 "
Justin Bieber - Confident,"1,09,34,56,087 ","12,25,490 "
Black Eyed Peas - RITMO (Bad Boys For Life),"1,09,32,03,890 ","1,96,838 "
Camila Cabello - Bam Bam,"1,09,27,27,035 ","2,17,809 "
Maroon 5 - Don't Wanna Know,"1,09,24,32,565 ","2,88,269 "
Chord Overstreet - Hold On,"1,09,14,38,559 ","3,39,845 "
Myles Smith - Stargazing,"1,09,12,33,417 ","9,02,939 "
Audioslave - Like a Stone,"1,09,12,17,087 ","8,91,452 "
Neon Trees - Everybody Talks,"1,09,03,03,782 ","5,14,613 "
Doja Cat - You Right,"1,08,90,47,990 ","5,09,499 "
Macklemore - Glorious,"1,08,81,89,697 ","2,65,176 "
Empire Of The Sun - We Are The People,"1,08,79,06,520 ","15,91,426 "
Sabrina Carpenter - Feather,"1,08,75,46,329 ","5,99,721 "
Marc SeguÃ­ - Tiroteo,"1,08,74,07,592 ","8,38,352 "
Lana Del Rey - Say Yes To Heaven,"1,08,65,63,436 ","8,06,407 "
SZA - Saturn,"1,08,62,54,598 ","7,11,608 "
XXXTENTACION - the remedy for a broken heart (why am I so in love),"1,08,52,21,077 ","1,42,809 "
50 Cent - P.I.M.P.,"1,08,48,46,000 ","5,30,278 "
Kenny Loggins - Footloose,"1,08,44,58,689 ","3,28,791 "
Weezer - Island In The Sun,"1,08,26,97,860 ","6,64,732 "
Daryl Hall & John Oates - Maneater,"1,08,19,25,416 ","6,86,714 "
Lizzo - Truth Hurts,"1,08,17,56,036 ","1,51,478 "
Juice WRLD - Bandit,"1,08,15,53,111 ","2,54,156 "
Lady Gaga - Telephone,"1,08,13,62,685 ","7,61,371 "
Metro Boomin - Trance,"1,08,12,23,950 ","5,91,568 "
Queen - Killer Queen,"1,07,92,68,116 ","3,67,911 "
Surfaces - Sunday Best,"1,07,92,47,911 ","1,63,515 "
Sleepy Hallow - 2055,"1,07,91,58,419 ","1,97,363 "
Laufey - From The Start,"1,07,73,19,560 ","11,94,509 "
Nirvana - Heart-Shaped Box,"1,07,67,74,980 ","5,71,658 "
Taylor Swift - willow,"1,07,56,67,326 ","2,41,778 "
Sam Smith - How Do You Sleep?,"1,07,51,70,789 ","1,47,058 "
Jonas Blue - Mama,"1,07,46,55,430 ","1,80,652 "
Childish Gambino - 3005,"1,07,40,87,688 ","4,25,840 "
Dave - Sprinter,"1,07,39,27,205 ","5,42,101 "
Luis Fonsi - Ãchame La Culpa,"1,07,37,14,169 ","2,39,209 "
Khalid - Talk,"1,07,32,73,933 ","1,50,682 "
BTS - FAKE LOVE,"1,07,22,79,574 ","4,74,137 "
Lorde - Team,"1,07,20,65,463 ","4,95,699 "
Skillet - Monster,"1,07,18,31,461 ","6,85,035 "
Bad Bunny - Si Veo a Tu MamÃ¡,"1,07,15,27,184 ","5,43,318 "
PinkPantheress - Pain,"1,07,14,58,813 ","5,81,179 "
Taylor Swift - You Belong With Me (Taylorâs Version),"1,07,10,69,912 ","4,92,936 "
Bad Bunny - Neverita,"1,07,09,94,463 ","4,38,609 "
Taylor Swift - exile,"1,07,09,56,227 ","4,24,733 "
Niall Horan - Slow Hands,"1,07,06,62,596 ","1,57,020 "
Charlie Puth - One Call Away,"1,07,04,84,320 ","4,85,954 "
Bad Bunny - Safaera,"1,07,04,84,291 ","6,09,509 "
Billie Eilish - TV,"1,06,91,05,389 ","5,51,430 "
Elton John - Don't Go Breaking My Heart,"1,06,86,92,688 ","4,30,996 "
Mr.Kitty - After Dark,"1,06,68,91,477 ","2,93,627 "
Scorpions - Wind Of Change,"1,06,64,01,532 ","5,69,615 "
Bee Gees - How Deep Is Your Love,"1,06,57,78,249 ","5,80,675 "
PinkPantheress - Boy's a liar Pt. 2,"1,06,57,43,542 ","3,79,063 "
Kid Cudi - Day 'N' Nite (Nightmare),"1,06,55,55,252 ","3,65,615 "
Bob Marley & The Wailers - Is This Love,"1,06,52,01,970 ","4,84,210 "
James Arthur - Car's Outside,"1,06,47,73,466 ","5,89,366 "
Justin Bieber - Mistletoe,"1,06,45,07,661 ","62,373 "
Dasha - Austin (Boots Stop Workin'),"1,06,44,63,215 ","5,55,149 "
Otis Redding - (Sittin' On) The Dock of the Bay,"1,06,38,07,942 ","4,06,421 "
James Arthur - Train Wreck,"1,06,37,34,922 ","2,63,444 "
Black Eyed Peas - Meet Me Halfway,"1,06,33,70,197 ","9,88,844 "
Robin Thicke - Blurred Lines,"1,06,27,00,440 ","3,40,984 "
CarÃ­n LeÃ³n - Primera Cita,"1,06,22,73,685 ","5,81,275 "
Fleetwood Mac - Landslide,"1,06,15,88,315 ","8,98,427 "
Ellie Goulding - Hate Me,"1,06,09,45,698 ","8,22,254 "
Khalid - Love Lies,"1,06,05,92,437 ","2,03,314 "
BANNERS - Someone To You,"1,06,01,97,071 ","3,83,018 "
Playboi Carti - Magnolia,"1,05,95,75,144 ","3,12,714 "
"Labrinth - Formula (From ""Euphoria: Season 1"" Soundtrack)","1,05,93,35,190 ","3,22,984 "
Dominic Fike - Babydoll,"1,05,90,43,297 ","62,74,860 "
Ariana Grande - boyfriend,"1,05,86,48,321 ","4,18,316 "
Demi Lovato - Cool for the Summer,"1,05,82,45,637 ","8,20,411 "
Maluma - SegÃºn QuiÃ©n,"1,05,73,80,999 ","5,07,998 "
Dr. Dre - Forgot About Dre,"1,05,68,97,056 ","3,56,052 "
Piso 21 - DÃ©jala Que Vuelva,"1,05,55,54,224 ","3,62,376 "
blink-182 - I Miss You,"1,05,48,57,135 ","4,64,564 "
Wheatus - Teenage Dirtbag,"1,05,46,80,049 ","7,94,122 "
Y2K - Lalala,"1,05,45,24,054 ","1,09,687 "
Kelly Clarkson - Since U Been Gone,"1,05,44,91,192 ","6,95,363 "
Mac DeMarco - My Kind of Woman,"1,05,33,46,990 ","5,39,260 "
Pitbull - Feel This Moment,"1,05,29,53,410 ","5,86,241 "
MEDUZA - Lose Control,"1,05,15,10,629 ","1,59,623 "
Aaron Smith - Dancin,"1,05,08,85,349 ","3,33,943 "
Harry Styles - Golden,"1,05,05,48,423 ","2,53,212 "
NATTI NATASHA - Criminal,"1,05,04,21,937 ","3,21,932 "
Rihanna - Disturbia,"1,05,01,64,676 ","8,17,816 "
Flo Rida - Whistle,"1,04,96,57,230 ","4,17,338 "
Lana Del Rey - Born To Die,"1,04,91,71,432 ","6,47,618 "
Black Eyed Peas - Pump It,"1,04,90,50,215 ","7,63,735 "
KYLE - iSpy,"1,04,89,44,264 ","1,49,816 "
Doja Cat - Boss Bitch,"1,04,89,22,292 ","2,21,674 "
Fitz and The Tantrums - Out of My League,"1,04,88,96,586 ","5,35,963 "
Vanessa Carlton - A Thousand Miles,"1,04,87,41,213 ","4,89,611 "
Rihanna - Pon de Replay,"1,04,85,44,227 ","5,57,353 "
P!nk - Try,"1,04,81,37,599 ","6,09,302 "
MGMT - Electric Feel,"1,04,79,61,286 ","4,53,418 "
Drake - Teenage Fever,"1,04,76,28,430 ","5,36,042 "
BlocBoy JB - Look Alive,"1,04,74,74,074 ","1,02,727 "
Michael Jackson - Smooth Criminal,"1,04,73,33,981 ","6,14,120 "
The Smiths - There Is a Light That Never Goes Out,"1,04,72,97,357 ","7,75,848 "
Rachel Platten - Fight Song,"1,04,71,37,042 ","1,88,110 "
Mustard - Ballinâ,"1,04,68,29,247 ","2,30,493 "
Nicky Jam - El PerdÃ³n,"1,04,61,91,682 ","3,80,392 "
Surf Mesa - ily (i love you baby),"1,04,52,74,060 ","1,86,534 "
Shakira - Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song],"1,04,48,72,125 ","2,87,194 "
Flume - Never Be Like You,"1,04,45,17,456 ","3,42,034 "
Pink Floyd - Wish You Were Here,"1,04,43,70,955 ","6,40,166 "
Kanye West - All Falls Down,"1,04,23,29,723 ","7,19,568 "
Jack Johnson - Better Together,"1,04,20,49,210 ","3,26,260 "
Feid - Normal,"1,04,07,60,409 ","3,53,375 "
Lorde - Ribs,"1,04,04,76,990 ","7,32,380 "
The Kid LAROI - WITHOUT YOU,"1,04,04,18,411 ","1,42,783 "
Drake - Fake Love,"1,04,02,75,130 ","1,12,954 "
The Weeknd - Is There Someone Else?,"1,04,01,60,703 ","4,10,841 "
Grupo Frontera - QUE VUELVAS,"1,03,96,16,650 ","3,98,125 "
cassÃ¶ - Prada,"1,03,86,60,373 ","4,61,078 "
SZA - Love Galore,"1,03,83,27,827 ","2,20,188 "
Migos - Bad and Boujee,"1,03,80,84,842 ","2,08,754 "
Blackstreet - No Diggity,"1,03,68,44,723 ","4,05,410 "
Ed Sheeran - I See Fire,"1,03,58,39,245 ","1,26,876 "
Fifth Harmony - Worth It,"1,03,33,60,221 ","3,72,005 "
Green Day - Wake Me up When September Ends,"1,03,27,91,294 ","4,81,492 "
My Chemical Romance - Welcome to the Black Parade,"1,03,26,24,099 ","4,31,694 "
Bill Withers - Lovely Day,"1,03,25,53,135 ","4,25,586 "
alt-J - Breezeblocks,"1,03,23,62,929 ","2,51,138 "
